Date,Clics,Impressions,CTR,Position
2026-06-01,6,126,4.76%,4.5
2026-06-02,13,160,8.12%,3.9
2026-06-03,5,139,3.6%,4.8
2026-06-04,10,155,6.45%,5
2026-06-05,5,131,3.82%,5.1
2026-06-06,7,138,5.07%,4.5
2026-06-07,6,95,6.32%,4.8
2026-06-08,11,181,6.08%,4.4
2026-06-09,9,92,9.78%,4.8
2026-06-10,17,103,16.5%,3.8
2026-06-11,8,119,6.72%,3.7
2026-06-12,10,119,8.4%,3.4
2026-06-13,15,151,9.93%,3.5
2026-06-14,7,98,7.14%,4
2026-06-15,5,108,4.63%,3.3
2026-06-16,14,151,9.27%,2.8
2026-06-17,8,106,7.55%,3
2026-06-18,6,99,6.06%,3.9
2026-06-19,7,102,6.86%,3.5
2026-06-20,6,136,4.41%,3.6
2026-06-21,4,94,4.26%,3.7
2026-06-22,6,95,6.32%,4.7
2026-06-23,4,95,4.21%,3
2026-06-24,13,144,9.03%,3.6
2026-06-25,12,87,13.79%,3.7
2026-06-26,5,95,5.26%,4.4
2026-06-27,8,82,9.76%,3.7
2026-06-28,6,147,4.08%,3.4
2026-06-29,6,99,6.06%,3.7
2026-06-30,16,108,14.81%,3
