Pays,Clics,Impressions,CTR,Position
France,234,3235,7.23%,3.75
Royaume-Uni,9,54,16.67%,4.33
Italie,3,43,6.98%,5.19
Belgique,3,23,13.04%,4.22
Irlande,3,17,17.65%,3
États-Unis,1,43,2.33%,8.95
Espagne,1,40,2.5%,5.75
Portugal,1,10,10%,2.3
Pays-Bas,0,18,0%,6.89
Allemagne,0,8,0%,8.62
Canada,0,7,0%,5.29
Suisse,0,6,0%,4.5
Réunion (Île de la),0,5,0%,7.4
Australie,0,3,0%,3.67
Jordanie,0,3,0%,4
Brésil,0,3,0%,6.67
Inde,0,3,0%,6.67
Autriche,0,2,0%,1
Mayotte,0,2,0%,3
Pakistan,0,2,0%,3
Andorre,0,2,0%,5.5
Norvège,0,2,0%,5.5
Afrique du Sud,0,2,0%,5.5
Croatie,0,2,0%,8.5
Liban,0,2,0%,9
Bénin,0,2,0%,10
Émirats Arabes Unis,0,1,0%,1
Pérou,0,1,0%,1
Guyane française,0,1,0%,4
Danemark,0,1,0%,5
Oman,0,1,0%,5
Philippines,0,1,0%,5
Maroc,0,1,0%,6
Mexique,0,1,0%,7
Singapour,0,1,0%,7
Roumanie,0,1,0%,8
Curaçao,0,1,0%,9
Venezuela,0,1,0%,9
Égypte,0,1,0%,10
Libye,0,1,0%,10
Chine,0,1,0%,12
Nouvelle-Zélande,0,1,0%,13
